2025-04-30 08:08:21:079 91 sec: 10865000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=97151, Min=45024, Avg=69115.37, 90=86847, 99=94975, 99.9=97151, 99.99=97151] 
2025-04-30 08:08:22:079 92 sec: 10986000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=101247, Min=48352, Avg=74544.66, 90=92863, 99=100159, 99.9=101247, 99.99=101247] 
2025-04-30 08:08:23:079 93 sec: 11105000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=93951, Min=50336, Avg=71108.03, 90=86079, 99=92031, 99.9=93951, 99.99=93951] 
2025-04-30 08:08:24:079 94 sec: 11225000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=101503, Min=46240, Avg=66335.47, 90=85375, 99=100991, 99.9=101503, 99.99=101503] 
2025-04-30 08:08:25:079 95 sec: 11344000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=107007, Min=43040, Avg=72412.77, 90=95679, 99=101887, 99.9=107007, 99.99=107007] 
2025-04-30 08:08:26:079 96 sec: 11464000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=105855, Min=46336, Avg=75952, 90=91455, 99=105791, 99.9=105855, 99.99=105855] 
2025-04-30 08:08:27:079 97 sec: 11583000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=90687, Min=48576, Avg=70532.71, 90=85759, 99=89791, 99.9=90687, 99.99=90687] 
2025-04-30 08:08:28:079 98 sec: 11703000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=103103, Min=43520, Avg=71558, 90=88511, 99=103039, 99.9=103103, 99.99=103103] 
2025-04-30 08:08:29:079 99 sec: 11826000 operations; 123000 current ops/sec; est completion in 2 minutes [INSERT: Count=123000, Max=100799, Min=46688, Avg=74081.43, 90=91903, 99=99583, 99.9=100799, 99.99=100799] 
2025-04-30 08:08:30:079 100 sec: 11943000 operations; 117000 current ops/sec; est completion in 2 minutes [INSERT: Count=117000, Max=104383, Min=49984, Avg=72849.09, 90=91327, 99=103615, 99.9=104383, 99.99=104383] 
2025-04-30 08:08:31:079 101 sec: 12066000 operations; 123000 current ops/sec; est completion in 2 minutes [INSERT: Count=123000, Max=97407, Min=46368, Avg=65329.3, 90=86207, 99=89791, 99.9=97407, 99.99=97407] 
2025-04-30 08:08:32:079 102 sec: 12185000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=102207, Min=46848, Avg=67688.47, 90=89727, 99=102143, 99.9=102207, 99.99=102207] 
2025-04-30 08:08:33:079 103 sec: 12307000 operations; 122000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=116607, Min=46016, Avg=70184.13, 90=94655, 99=107199, 99.9=116607, 99.99=116607] 
2025-04-30 08:08:34:079 104 sec: 12423000 operations; 116000 current ops/sec; est completion in 2 minutes [INSERT: Count=116000, Max=87935, Min=49504, Avg=69564.69, 90=83775, 99=86591, 99.9=87935, 99.99=87935] 
2025-04-30 08:08:35:079 105 sec: 12547000 operations; 124000 current ops/sec; est completion in 2 minutes [INSERT: Count=124000, Max=103551, Min=47264, Avg=64712.13, 90=83007, 99=99775, 99.9=103551, 99.99=103551] 
2025-04-30 08:08:36:079 106 sec: 12667000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=96511, Min=45664, Avg=66992, 90=82751, 99=94975, 99.9=96511, 99.99=96511] 
2025-04-30 08:08:37:079 107 sec: 12788000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=105535, Min=46144, Avg=70625.06, 90=89919, 99=103231, 99.9=105535, 99.99=105535] 
2025-04-30 08:08:38:079 108 sec: 12907000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=96447, Min=48800, Avg=70994.42, 90=86911, 99=94847, 99.9=96447, 99.99=96447] 
