2025-05-01 04:14:02:647 68 sec: 5407000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=140543, Min=33024, Avg=60296.4, 90=98559, 99=140543, 99.9=140543, 99.99=140543] 
2025-05-01 04:14:03:647 69 sec: 5485000 operations; 78000 current ops/sec; est completion in 4 minutes [INSERT: Count=78000, Max=116351, Min=31760, Avg=60457.54, 90=86719, 99=116351, 99.9=116351, 99.99=116351] 
2025-05-01 04:14:04:647 70 sec: 5563000 operations; 78000 current ops/sec; est completion in 4 minutes [INSERT: Count=78000, Max=111743, Min=35936, Avg=58806.97, 90=84927, 99=111743, 99.9=111743, 99.99=111743] 
2025-05-01 04:14:05:647 71 sec: 5647000 operations; 84000 current ops/sec; est completion in 4 minutes [INSERT: Count=84000, Max=130751, Min=35936, Avg=60028.38, 90=92159, 99=130751, 99.9=130751, 99.99=130751] 
2025-05-01 04:14:06:647 72 sec: 5728000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=121791, Min=32736, Avg=52218.17, 90=76159, 99=121791, 99.9=121791, 99.99=121791] 
2025-05-01 04:14:07:647 73 sec: 5806000 operations; 78000 current ops/sec; est completion in 4 minutes [INSERT: Count=78000, Max=123007, Min=33568, Avg=58711.18, 90=83199, 99=123007, 99.9=123007, 99.99=123007] 
2025-05-01 04:14:08:647 74 sec: 5884000 operations; 78000 current ops/sec; est completion in 4 minutes [INSERT: Count=78000, Max=115071, Min=36224, Avg=65066.67, 90=93823, 99=115071, 99.9=115071, 99.99=115071] 
2025-05-01 04:14:09:647 75 sec: 5964000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=139007, Min=34400, Avg=70946.8, 90=105151, 99=139007, 99.9=139007, 99.99=139007] 
2025-05-01 04:14:10:647 76 sec: 6042000 operations; 78000 current ops/sec; est completion in 3 minutes [INSERT: Count=78000, Max=113791, Min=33792, Avg=68309.54, 90=95423, 99=113791, 99.9=113791, 99.99=113791] 
2025-05-01 04:14:11:647 77 sec: 6123000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=169471, Min=37216, Avg=83470.42, 90=106431, 99=169471, 99.9=169471, 99.99=169471] 
2025-05-01 04:14:12:647 78 sec: 6200000 operations; 77000 current ops/sec; est completion in 3 minutes [INSERT: Count=77633, Max=239103, Min=44480, Avg=109622.32, 90=143487, 99=239103, 99.9=239103, 99.99=239103] 
2025-05-01 04:14:13:647 79 sec: 6284000 operations; 84000 current ops/sec; est completion in 3 minutes [INSERT: Count=83367, Max=232831, Min=35264, Avg=95325.32, 90=131071, 99=232831, 99.9=232831, 99.99=232831] 
2025-05-01 04:14:14:647 80 sec: 6365000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=202495, Min=37088, Avg=107952.59, 90=154879, 99=202495, 99.9=202495, 99.99=202495] 
2025-05-01 04:14:15:647 81 sec: 6446000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=126591, Min=36512, Avg=69506.57, 90=99007, 99=126591, 99.9=126591, 99.99=126591] 
2025-05-01 04:14:16:647 82 sec: 6524000 operations; 78000 current ops/sec; est completion in 3 minutes [INSERT: Count=78000, Max=86527, Min=33568, Avg=59109.54, 90=80575, 99=86527, 99.9=86527, 99.99=86527] 
2025-05-01 04:14:17:647 83 sec: 6603000 operations; 79000 current ops/sec; est completion in 3 minutes [INSERT: Count=79000, Max=115263, Min=35392, Avg=68013.37, 90=98495, 99=115263, 99.9=115263, 99.99=115263] 
2025-05-01 04:14:18:647 84 sec: 6684000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=124031, Min=34432, Avg=61265.98, 90=78335, 99=124031, 99.9=124031, 99.99=124031] 
2025-05-01 04:14:19:647 85 sec: 6762000 operations; 78000 current ops/sec; est completion in 3 minutes [INSERT: Count=78000, Max=122431, Min=37056, Avg=66124.31, 90=94847, 99=122431, 99.9=122431, 99.99=122431] 
2025-05-01 04:14:20:647 86 sec: 6846000 operations; 84000 current ops/sec; est completion in 3 minutes [INSERT: Count=84000, Max=137599, Min=34240, Avg=53775.43, 90=83647, 99=137599, 99.9=137599, 99.99=137599] 
2025-05-01 04:14:21:647 87 sec: 6925000 operations; 79000 current ops/sec; est completion in 3 minutes [INSERT: Count=79000, Max=129215, Min=35712, Avg=59853.57, 90=88639, 99=129215, 99.9=129215, 99.99=129215] 
2025-05-01 04:14:22:647 88 sec: 7006000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=77503, Min=32768, Avg=49995.65, 90=67839, 99=77503, 99.9=77503, 99.99=77503] 
2025-05-01 04:14:23:647 89 sec: 7084000 operations; 78000 current ops/sec; est completion in 3 minutes [INSERT: Count=78000, Max=72063, Min=35072, Avg=46564.1, 90=64415, 99=72063, 99.9=72063, 99.99=72063] 
2025-05-01 04:14:24:647 90 sec: 7167000 operations; 83000 current ops/sec; est completion in 3 minutes [INSERT: Count=83000, Max=126335, Min=33984, Avg=50702.46, 90=70079, 99=126335, 99.9=126335, 99.99=126335] 
2025-05-01 04:14:25:647 91 sec: 7245000 operations; 78000 current ops/sec; est completion in 3 minutes [INSERT: Count=78000, Max=100095, Min=33824, Avg=56077.13, 90=76031, 99=100095, 99.9=100095, 99.99=100095] 
2025-05-01 04:14:26:647 92 sec: 7321000 operations; 76000 current ops/sec; est completion in 3 minutes [INSERT: Count=76000, Max=247423, Min=51968, Avg=109181.47, 90=159743, 99=247423, 99.9=247423, 99.99=247423] 
2025-05-01 04:14:27:647 93 sec: 7406000 operations; 85000 current ops/sec; est completion in 3 minutes [INSERT: Count=85000, Max=196735, Min=37568, Avg=84942.31, 90=137599, 99=196735, 99.9=196735, 99.99=196735] 
2025-05-01 04:14:28:647 94 sec: 7485000 operations; 79000 current ops/sec; est completion in 3 minutes [INSERT: Count=79000, Max=136447, Min=34880, Avg=61262.38, 90=105471, 99=136447, 99.9=136447, 99.99=136447] 
2025-05-01 04:14:29:647 95 sec: 7566000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=234367, Min=35968, Avg=89382.72, 90=165759, 99=234367, 99.9=234367, 99.99=234367] 
2025-05-01 04:14:30:647 96 sec: 7646000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=102399, Min=33120, Avg=52832, 90=75199, 99=102399, 99.9=102399, 99.99=102399] 
2025-05-01 04:14:31:647 97 sec: 7724000 operations; 78000 current ops/sec; est completion in 3 minutes [INSERT: Count=78000, Max=89471, Min=34752, Avg=52283.28, 90=69503, 99=89471, 99.9=89471, 99.99=89471] 
