2025-08-10 22:01:25:016 74 sec: 82480 operations; 1127 current ops/sec; est completion in 43 minutes [INSERT: Count=1127, Max=1011, Min=754, Avg=879.95, 90=916, 99=955, 99.9=991, 99.99=1011] 
2025-08-10 22:01:26:016 75 sec: 83608 operations; 1128 current ops/sec; est completion in 43 minutes [INSERT: Count=1128, Max=1462, Min=559, Avg=878.86, 90=916, 99=946, 99.9=991, 99.99=1462] 
2025-08-10 22:01:27:016 76 sec: 84735 operations; 1127 current ops/sec; est completion in 43 minutes [INSERT: Count=1127, Max=3719, Min=711, Avg=879.7, 90=915, 99=945, 99.9=996, 99.99=3719] 
2025-08-10 22:01:28:016 77 sec: 85863 operations; 1128 current ops/sec; est completion in 43 minutes [INSERT: Count=1128, Max=998, Min=743, Avg=879.86, 90=917, 99=945, 99.9=981, 99.99=998] 
2025-08-10 22:01:29:016 78 sec: 86991 operations; 1128 current ops/sec; est completion in 43 minutes [INSERT: Count=1128, Max=2677, Min=773, Avg=879.75, 90=914, 99=945, 99.9=1047, 99.99=2677] 
2025-08-10 22:01:30:016 79 sec: 88125 operations; 1134 current ops/sec; est completion in 43 minutes [INSERT: Count=1134, Max=989, Min=683, Avg=875.62, 90=912, 99=939, 99.9=958, 99.99=989] 
2025-08-10 22:01:31:016 80 sec: 89245 operations; 1120 current ops/sec; est completion in 43 minutes [INSERT: Count=1120, Max=2417, Min=629, Avg=886.55, 90=931, 99=986, 99.9=2261, 99.99=2417] 
2025-08-10 22:01:32:016 81 sec: 90357 operations; 1112 current ops/sec; est completion in 43 minutes [INSERT: Count=1112, Max=2363, Min=731, Avg=892.02, 90=937, 99=978, 99.9=1030, 99.99=2363] 
2025-08-10 22:01:33:016 82 sec: 91472 operations; 1115 current ops/sec; est completion in 43 minutes [INSERT: Count=1116, Max=1067, Min=616, Avg=890.17, 90=932, 99=981, 99.9=1037, 99.99=1067] 
2025-08-10 22:01:34:016 83 sec: 92591 operations; 1119 current ops/sec; est completion in 43 minutes [INSERT: Count=1118, Max=1021, Min=744, Avg=887.91, 90=927, 99=956, 99.9=1008, 99.99=1021] 
2025-08-10 22:01:35:016 84 sec: 93715 operations; 1124 current ops/sec; est completion in 43 minutes [INSERT: Count=1124, Max=990, Min=746, Avg=883.33, 90=921, 99=957, 99.9=982, 99.99=990] 
2025-08-10 22:01:36:016 85 sec: 94839 operations; 1124 current ops/sec; est completion in 43 minutes [INSERT: Count=1124, Max=992, Min=677, Avg=882.58, 90=921, 99=953, 99.9=980, 99.99=992] 
2025-08-10 22:01:37:016 86 sec: 95959 operations; 1120 current ops/sec; est completion in 43 minutes [INSERT: Count=1120, Max=1010, Min=629, Avg=886.85, 90=924, 99=957, 99.9=983, 99.99=1010] 
2025-08-10 22:01:38:016 87 sec: 97078 operations; 1119 current ops/sec; est completion in 43 minutes [INSERT: Count=1119, Max=2347, Min=536, Avg=886.8, 90=923, 99=952, 99.9=1076, 99.99=2347] 
2025-08-10 22:01:39:016 88 sec: 98194 operations; 1116 current ops/sec; est completion in 43 minutes [INSERT: Count=1116, Max=1040, Min=736, Avg=889.31, 90=928, 99=961, 99.9=1008, 99.99=1040] 
2025-08-10 22:01:40:016 89 sec: 99316 operations; 1122 current ops/sec; est completion in 43 minutes [INSERT: Count=1123, Max=1043, Min=751, Avg=883.23, 90=918, 99=957, 99.9=1014, 99.99=1043] 
2025-08-10 22:01:41:016 90 sec: 100440 operations; 1124 current ops/sec; est completion in 43 minutes [INSERT: Count=1123, Max=1122, Min=723, Avg=884.04, 90=920, 99=950, 99.9=1016, 99.99=1122] 
2025-08-10 22:01:42:016 91 sec: 101566 operations; 1126 current ops/sec; est completion in 43 minutes [INSERT: Count=1126, Max=1013, Min=754, Avg=881.15, 90=920, 99=952, 99.9=1003, 99.99=1013] 
2025-08-10 22:01:43:016 92 sec: 102691 operations; 1125 current ops/sec; est completion in 43 minutes [INSERT: Count=1125, Max=1071, Min=731, Avg=883.04, 90=922, 99=953, 99.9=980, 99.99=1071] 
2025-08-10 22:01:44:016 93 sec: 103815 operations; 1124 current ops/sec; est completion in 43 minutes [INSERT: Count=1124, Max=979, Min=754, Avg=882.75, 90=919, 99=949, 99.9=969, 99.99=979] 
2025-08-10 22:01:45:016 94 sec: 104941 operations; 1126 current ops/sec; est completion in 43 minutes [INSERT: Count=1126, Max=981, Min=679, Avg=881.59, 90=919, 99=957, 99.9=973, 99.99=981] 
2025-08-10 22:01:46:016 95 sec: 106065 operations; 1124 current ops/sec; est completion in 43 minutes [INSERT: Count=1124, Max=2451, Min=634, Avg=883.29, 90=919, 99=952, 99.9=1017, 99.99=2451] 
2025-08-10 22:01:47:016 96 sec: 107190 operations; 1125 current ops/sec; est completion in 43 minutes [INSERT: Count=1125, Max=1011, Min=716, Avg=881.68, 90=917, 99=953, 99.9=998, 99.99=1011] 
2025-08-10 22:01:48:016 97 sec: 108315 operations; 1125 current ops/sec; est completion in 43 minutes [INSERT: Count=1125, Max=1741, Min=765, Avg=881.53, 90=918, 99=949, 99.9=1033, 99.99=1741] 
2025-08-10 22:01:49:016 98 sec: 109440 operations; 1125 current ops/sec; est completion in 43 minutes [INSERT: Count=1125, Max=1605, Min=728, Avg=882.4, 90=917, 99=950, 99.9=1009, 99.99=1605] 
2025-08-10 22:01:50:016 99 sec: 110567 operations; 1127 current ops/sec; est completion in 43 minutes [INSERT: Count=1127, Max=1029, Min=737, Avg=881.36, 90=919, 99=956, 99.9=1003, 99.99=1029] 
2025-08-10 22:01:51:016 100 sec: 111695 operations; 1128 current ops/sec; est completion in 43 minutes [INSERT: Count=1128, Max=990, Min=748, Avg=880.03, 90=920, 99=950, 99.9=987, 99.99=990] 
2025-08-10 22:01:52:016 101 sec: 112820 operations; 1125 current ops/sec; est completion in 43 minutes [INSERT: Count=1125, Max=1040, Min=662, Avg=882.86, 90=921, 99=952, 99.9=986, 99.99=1040] 
2025-08-10 22:01:53:016 102 sec: 113946 operations; 1126 current ops/sec; est completion in 43 minutes [INSERT: Count=1126, Max=987, Min=696, Avg=881.8, 90=921, 99=955, 99.9=984, 99.99=987] 
2025-08-10 22:01:54:016 103 sec: 115068 operations; 1122 current ops/sec; est completion in 43 minutes [INSERT: Count=1122, Max=2173, Min=765, Avg=884.52, 90=921, 99=963, 99.9=1015, 99.99=2173] 
2025-08-10 22:01:55:016 104 sec: 116196 operations; 1128 current ops/sec; est completion in 43 minutes [INSERT: Count=1128, Max=1013, Min=707, Avg=879.91, 90=917, 99=947, 99.9=966, 99.99=1013] 
2025-08-10 22:01:56:016 105 sec: 117321 operations; 1125 current ops/sec; est completion in 43 minutes [INSERT: Count=1125, Max=988, Min=590, Avg=882.49, 90=917, 99=943, 99.9=982, 99.99=988] 
2025-08-10 22:01:57:016 106 sec: 118447 operations; 1126 current ops/sec; est completion in 42 minutes [INSERT: Count=1126, Max=1006, Min=731, Avg=881.37, 90=919, 99=950, 99.9=987, 99.99=1006] 
2025-08-10 22:01:58:016 107 sec: 119574 operations; 1127 current ops/sec; est completion in 42 minutes [INSERT: Count=1127, Max=1038, Min=670, Avg=879.53, 90=916, 99=947, 99.9=1006, 99.99=1038] 
2025-08-10 22:01:59:016 108 sec: 120697 operations; 1123 current ops/sec; est completion in 42 minutes [INSERT: Count=1123, Max=1310, Min=623, Avg=883.43, 90=918, 99=951, 99.9=1026, 99.99=1310] 
2025-08-10 22:02:00:016 109 sec: 121819 operations; 1122 current ops/sec; est completion in 42 minutes [INSERT: Count=1122, Max=1025, Min=770, Avg=883.07, 90=920, 99=948, 99.9=987, 99.99=1025] 
2025-08-10 22:02:01:016 110 sec: 122939 operations; 1120 current ops/sec; est completion in 42 minutes [INSERT: Count=1120, Max=1139, Min=763, Avg=885.15, 90=921, 99=963, 99.9=1106, 99.99=1139] 
2025-08-10 22:02:02:016 111 sec: 124065 operations; 1126 current ops/sec; est completion in 42 minutes [INSERT: Count=1126, Max=997, Min=727, Avg=880.75, 90=921, 99=963, 99.9=986, 99.99=997] 
2025-08-10 22:02:03:016 112 sec: 125192 operations; 1127 current ops/sec; est completion in 42 minutes [INSERT: Count=1127, Max=995, Min=666, Avg=879.37, 90=918, 99=953, 99.9=980, 99.99=995] 
2025-08-10 22:02:04:016 113 sec: 126319 operations; 1127 current ops/sec; est completion in 42 minutes [INSERT: Count=1127, Max=1016, Min=747, Avg=879.73, 90=916, 99=947, 99.9=999, 99.99=1016] 
2025-08-10 22:02:05:016 114 sec: 127444 operations; 1125 current ops/sec; est completion in 42 minutes [INSERT: Count=1125, Max=971, Min=763, Avg=880.8, 90=918, 99=949, 99.9=970, 99.99=971] 
2025-08-10 22:02:06:016 115 sec: 128571 operations; 1127 current ops/sec; est completion in 42 minutes [INSERT: Count=1127, Max=971, Min=723, Avg=880.23, 90=915, 99=946, 99.9=969, 99.99=971] 
2025-08-10 22:02:07:016 116 sec: 129650 operations; 1079 current ops/sec; est completion in 42 minutes [INSERT: Count=1079, Max=16279, Min=444, Avg=919.01, 90=916, 99=951, 99.9=15431, 99.99=16279] 
2025-08-10 22:02:08:016 117 sec: 130719 operations; 1069 current ops/sec; est completion in 42 minutes [INSERT: Count=1069, Max=21023, Min=431, Avg=927.23, 90=918, 99=984, 99.9=15135, 99.99=21023] 
2025-08-10 22:02:09:016 118 sec: 131843 operations; 1124 current ops/sec; est completion in 42 minutes [INSERT: Count=1124, Max=977, Min=739, Avg=881.88, 90=917, 99=955, 99.9=968, 99.99=977] 
