2025-05-01 04:22:18:751 93 sec: 9780000 operations; 11000 current ops/sec; est completion in 2 minutes [INSERT: Count=11000, Max=12525567, Min=8937472, Avg=10827217.45, 90=12492799, 99=12525567, 99.9=12525567, 99.99=12525567] 
2025-05-01 04:22:19:751 94 sec: 9791000 operations; 11000 current ops/sec; est completion in 2 minutes [INSERT: Count=11000, Max=13311999, Min=9797632, Avg=11250222.55, 90=13287423, 99=13311999, 99.9=13311999, 99.99=13311999] 
2025-05-01 04:22:20:751 95 sec: 9801000 operations; 10000 current ops/sec; est completion in 2 minutes [INSERT: Count=10000, Max=14434303, Min=10788864, Avg=12556697.6, 90=14106623, 99=14434303, 99.9=14434303, 99.99=14434303] 
2025-05-01 04:22:21:751 96 sec: 9834000 operations; 33000 current ops/sec; est completion in 2 minutes [INSERT: Count=33000, Max=15212543, Min=11649024, Avg=14573443.88, 90=15179775, 99=15212543, 99.9=15212543, 99.99=15212543] 
2025-05-01 04:22:22:751 97 sec: 9977000 operations; 143000 current ops/sec; est completion in 2 minutes [INSERT: Count=143000, Max=14999551, Min=12378112, Avg=14253650.35, 90=14843903, 99=14966783, 99.9=14999551, 99.99=14999551] 
2025-05-01 04:22:23:751 98 sec: 10123000 operations; 146000 current ops/sec; est completion in 2 minutes [INSERT: Count=146000, Max=14123007, Min=12345344, Avg=13051314.85, 90=13590527, 99=13877247, 99.9=14123007, 99.99=14123007] 
2025-05-01 04:22:24:751 99 sec: 10264000 operations; 141000 current ops/sec; est completion in 2 minutes [INSERT: Count=141000, Max=14893055, Min=11075584, Avg=11843453.28, 90=12279807, 99=14860287, 99.9=14893055, 99.99=14893055] 
2025-05-01 04:22:25:751 100 sec: 10408000 operations; 144000 current ops/sec; est completion in 2 minutes [INSERT: Count=144000, Max=15982591, Min=9748480, Avg=10652672, 90=11010047, 99=15728639, 99.9=15982591, 99.99=15982591] 
2025-05-01 04:22:26:751 101 sec: 10680000 operations; 272000 current ops/sec; est completion in 2 minutes [INSERT: Count=272000, Max=16023551, Min=8486912, Avg=12206682.35, 90=15712255, 99=15958015, 99.9=16023551, 99.99=16023551] 
2025-05-01 04:22:27:751 102 sec: 10925000 operations; 245000 current ops/sec; est completion in 2 minutes [INSERT: Count=245000, Max=14827519, Min=7213056, Avg=10789917.26, 90=14630911, 99=14786559, 99.9=14827519, 99.99=14827519] 
2025-05-01 04:22:28:751 103 sec: 11123000 operations; 198000 current ops/sec; est completion in 1 minute [INSERT: Count=198000, Max=13959167, Min=6553600, Avg=10862602.34, 90=13737983, 99=13918207, 99.9=13959167, 99.99=13959167] 
2025-05-01 04:22:29:751 104 sec: 11272000 operations; 149000 current ops/sec; est completion in 1 minute [INSERT: Count=149000, Max=13000703, Min=6971392, Avg=11774845.42, 90=12820479, 99=12967935, 99.9=13000703, 99.99=13000703] 
2025-05-01 04:22:30:751 105 sec: 11415000 operations; 143000 current ops/sec; est completion in 1 minute [INSERT: Count=143000, Max=11714559, Min=7827456, Avg=10832187.08, 90=11534335, 99=11689983, 99.9=11714559, 99.99=11714559] 
2025-05-01 04:22:31:751 106 sec: 11569000 operations; 154000 current ops/sec; est completion in 1 minute [INSERT: Count=154000, Max=10526719, Min=8462336, Avg=9736670.75, 90=10354687, 99=10510335, 99.9=10526719, 99.99=10526719] 
2025-05-01 04:22:32:751 107 sec: 11720000 operations; 151000 current ops/sec; est completion in 1 minute [INSERT: Count=151000, Max=10067967, Min=7761920, Avg=8560979.07, 90=9109503, 99=10059775, 99.9=10067967, 99.99=10067967] 
2025-05-01 04:22:33:751 108 sec: 11750000 operations; 30000 current ops/sec; est completion in 1 minute [INSERT: Count=30000, Max=10895359, Min=7626752, Avg=8632183.47, 90=10756095, 99=10895359, 99.9=10895359, 99.99=10895359] 
2025-05-01 04:22:34:751 109 sec: 11765000 operations; 15000 current ops/sec; est completion in 1 minute [INSERT: Count=15000, Max=11640831, Min=8552448, Avg=10253926.4, 90=11567103, 99=11640831, 99.9=11640831, 99.99=11640831] 
